h,theta,speed
227,192,8.9
238,202,7
245,207,6.6
252,209,6.9
259,209,7.4
265,208,7.9
271,208,8.5
278,208,9
283,208,9.4
289,207,9.8
294,207,10.3
299,207,10.6
304,207,11
310,207,11.3
315,207,11.6
321,206,11.8
325,206,12
330,206,12.2
335,206,12.3
340,205,12.4
346,205,12.5
352,204,12.5
358,204,12.5
364,203,12.5
370,203,12.5
376,202,12.4
382,202,12.3
388,201,12.2
395,200,12.2
402,200,12.1
409,199,12
417,198,11.9
423,198,11.8
430,197,11.7
436,197,11.6
442,196,11.5
449,196,11.5
455,196,11.5
462,196,11.4
468,196,11.4
474,196,11.4
480,196,11.5
486,196,11.5
491,196,11.5
497,196,11.6
503,197,11.7
509,197,11.8
514,198,11.9
519,198,12
524,199,12.1
528,200,12.2
533,200,12.3
538,201,12.4
544,202,12.5
549,202,12.7
556,203,12.8
562,204,12.9
569,204,13
575,205,13.1
581,206,13.1
586,206,13.2
591,207,13.3
596,208,13.3
600,208,13.3
605,209,13.4
608,209,13.4
613,210,13.4
617,210,13.4
621,210,13.4
626,211,13.4
631,211,13.4
636,211,13.4
642,212,13.3
648,212,13.3
655,212,13.3
662,212,13.3
669,212,13.3
676,212,13.3
682,212,13.3
687,212,13.4
692,212,13.4
698,212,13.4
704,212,13.5
709,212,13.5
714,212,13.6
719,212,13.7
724,212,13.8
730,212,13.8
735,212,13.9
741,212,14
746,212,14.1
751,212,14.2
756,213,14.3
760,213,14.3
766,213,14.4
771,213,14.5
776,214,14.5
781,214,14.6
785,214,14.6
789,215,14.7
794,215,14.7
799,216,14.7
804,216,14.8
809,216,14.8
814,217,14.8
815,217,14.8
819,217,14.8
822,218,14.8
826,218,14.7
828,218,14.7
831,219,14.7
834,219,14.7
836,219,14.6
840,219,14.6
843,219,14.6
847,220,14.5
850,220,14.5
853,220,14.5
856,220,14.5
859,220,14.5
862,221,14.5
866,221,14.5
869,221,14.5
873,221,14.5
876,221,14.5
880,222,14.5
884,222,14.6
888,222,14.6
892,223,14.7
897,223,14.7
902,223,14.8
907,224,14.9
911,224,14.9
914,224,15
918,225,15.1
922,225,15.2
925,226,15.2
929,226,15.3
932,226,15.4
936,227,15.5
939,227,15.5
942,227,15.6
945,227,15.6
948,228,15.6
951,228,15.7
954,228,15.7
956,228,15.7
959,228,15.7
962,228,15.7
965,229,15.6
968,229,15.6
971,229,15.6
974,229,15.5
978,229,15.5
982,229,15.4
985,229,15.4
989,229,15.3
992,229,15.3
996,229,15.3
999,229,15.2
1003,230,15.2
1006,230,15.1
1010,230,15.1
1014,230,15.1
1018,230,15.1
1022,230,15.1
1027,230,15.1
1030,231,15.1
1034,231,15.1
1038,231,15.1
1041,231,15.2
1045,231,15.2
1048,232,15.2
1052,232,15.3
1055,232,15.3
1059,232,15.3
1062,233,15.3
1066,233,15.4
1069,233,15.4
1073,233,15.4
1077,234,15.4
1080,234,15.5
1084,235,15.5
1088,235,15.5
1092,235,15.5
1097,236,15.5
1101,237,15.4
1106,237,15.4
1110,238,15.4
1115,238,15.4
1119,239,15.4
1122,240,15.4
1126,240,15.4
1129,241,15.4
1132,242,15.4
1135,242,15.4
1138,243,15.4
1141,243,15.4
1144,244,15.4
1149,244,15.4
1153,245,15.4
1158,245,15.4
1163,245,15.4
1167,246,15.4
1172,246,15.4
1175,246,15.4
1179,246,15.4
1183,246,15.4
1186,246,15.4
1189,246,15.4
1192,246,15.4
1195,246,15.4
1199,246,15.4
1203,246,15.4
1207,246,15.4
1212,245,15.5
1217,245,15.5
1221,245,15.5
1226,245,15.5
1230,245,15.5
1235,245,15.5
1239,245,15.5
1244,245,15.5
1248,244,15.5
1253,244,15.6
1258,244,15.6
1262,244,15.6
1267,244,15.6
1271,244,15.6
1275,244,15.7
1279,244,15.7
1283,244,15.7
1288,244,15.7
1291,244,15.7
1295,244,15.8
1298,244,15.8
1301,244,15.8
1304,244,15.8
1306,244,15.8
1309,244,15.9
1312,244,15.9
1315,244,15.9
1318,243,15.9
1322,243,15.9
1327,243,16
1331,243,16
1336,243,16
1340,243,16
1345,242,16
1349,242,16
1353,242,16
1358,242,15.9
1364,242,15.9
1370,241,15.9
1376,241,15.9
1382,241,15.8
1388,241,15.8
1394,241,15.7
1399,240,15.7
1404,240,15.6
1408,240,15.6
1412,240,15.5
1416,240,15.5
1419,240,15.4
1423,239,15.3
1426,239,15.3
1430,239,15.2
1433,239,15.2
1436,239,15.1
1440,239,15
1443,239,15
1447,238,14.9
1450,238,14.9
1455,238,14.8
1460,238,14.7
1466,238,14.7
1472,238,14.6
1477,237,14.5
1482,237,14.4
1486,237,14.3
1490,237,14.2
1494,237,14.1
1498,237,14
1503,237,13.9
1507,237,13.8
1512,236,13.7
1517,236,13.5
1521,236,13.4
1526,236,13.3
1530,236,13.1
1533,236,13.1
1534,236,13
1539,236,12.8
1543,236,12.7
1548,236,12.6
1553,236,12.4
1559,236,12.3
1565,236,12.2
1571,236,12.1
1576,236,12
1582,236,11.9
1586,235,11.8
1591,235,11.7
1595,235,11.7
1599,235,11.6
1604,235,11.6
1609,235,11.6
1614,235,11.5
1620,235,11.5
1625,234,11.5
1629,234,11.5
1633,234,11.5
1637,234,11.5
1640,234,11.5
1644,233,11.5
1647,233,11.6
1650,233,11.6
1653,233,11.6
1657,232,11.6
1661,232,11.6
1665,232,11.6
1669,232,11.6
1674,231,11.6
1680,231,11.6
1685,231,11.6
1691,230,11.6
1697,230,11.5
1702,230,11.5
1708,229,11.5
1714,229,11.5
1720,229,11.4
1725,228,11.4
1730,228,11.3
1735,228,11.3
1740,227,11.2
1744,227,11.2
1750,227,11.1
1754,227,11
1759,227,11
1763,227,10.9
1766,226,10.8
1770,226,10.8
1774,226,10.7
1778,226,10.6
1782,226,10.5
1786,227,10.5
1792,227,10.4
1797,227,10.4
1802,227,10.3
1807,227,10.3
1812,227,10.2
1816,228,10.2
1820,228,10.2
1823,228,10.2
1827,228,10.1
1830,229,10.1
1832,229,10.1
1835,229,10.1
1838,229,10.2
