h,theta,speed
227,287,3.5
249,275,3.4
256,271,3.6
263,270,3.8
270,270,4
278,271,4.2
286,271,4.4
292,272,4.6
298,272,4.7
304,272,4.8
310,272,5
316,272,5.2
321,273,5.3
326,273,5.5
329,273,5.6
332,273,5.7
337,274,5.8
343,274,5.9
351,274,6
359,274,6
365,274,6.1
371,274,6.1
376,274,6.2
381,274,6.2
386,274,6.3
390,274,6.3
393,274,6.4
397,274,6.4
402,274,6.4
407,274,6.5
412,273,6.5
417,273,6.6
421,273,6.6
425,273,6.7
431,272,6.7
438,272,6.8
446,272,6.9
453,271,6.9
459,271,7
464,270,7.1
468,270,7.2
473,270,7.2
477,270,7.3
481,269,7.3
485,269,7.4
488,269,7.5
492,269,7.5
496,268,7.5
500,268,7.6
504,268,7.6
509,268,7.6
514,268,7.6
519,268,7.6
524,268,7.6
529,268,7.6
533,268,7.6
537,268,7.6
540,268,7.5
545,268,7.5
552,268,7.5
560,268,7.4
570,268,7.4
578,268,7.4
585,268,7.3
590,268,7.3
594,268,7.3
597,268,7.2
600,268,7.2
604,268,7.2
608,268,7.1
612,268,7.1
617,269,7.1
621,269,7
625,269,7
629,269,7
634,269,7
638,269,7
643,269,7
649,269,7
654,269,7
660,269,7
665,269,7
670,269,7
676,270,7
681,270,6.9
685,270,6.9
686,270,6.9
692,270,6.9
698,270,6.9
704,270,6.9
710,270,6.9
716,271,6.9
723,271,7
730,271,7
736,271,7
742,272,7
748,272,7
753,272,7
758,272,7
762,273,7
766,273,7
771,273,7
776,274,7
782,274,7
789,274,7.1
796,275,7.1
804,275,7.1
810,275,7.1
815,275,7.2
819,275,7.2
824,276,7.2
828,276,7.3
834,276,7.3
840,276,7.3
846,276,7.4
852,276,7.4
858,276,7.5
863,276,7.5
868,276,7.6
873,276,7.7
877,276,7.7
882,275,7.8
886,275,7.8
890,275,7.9
894,275,8
900,275,8.1
907,275,8.1
914,275,8.2
920,275,8.3
926,275,8.3
931,275,8.4
936,276,8.5
941,276,8.6
946,276,8.7
952,276,8.7
956,276,8.8
961,276,8.9
966,276,9
971,276,9.1
977,276,9.1
983,276,9.2
989,276,9.3
994,276,9.4
998,276,9.5
1002,276,9.6
1006,276,9.7
1010,275,9.8
1013,275,9.9
1018,275,9.9
1023,275,10
1028,274,10.1
1035,274,10.2
1041,273,10.3
1048,273,10.4
1054,273,10.5
1060,272,10.6
1066,272,10.7
1072,272,10.8
1076,271,10.9
1081,271,10.9
1084,271,11
1088,271,11.1
1091,270,11.2
1095,270,11.3
1099,270,11.4
1104,270,11.5
1108,270,11.6
1113,270,11.7
1118,270,11.8
1123,271,11.9
1127,271,12
1131,271,12.1
1135,271,12.1
1140,271,12.2
1146,271,12.3
1152,272,12.4
1158,272,12.5
1164,272,12.6
1169,272,12.6
1174,272,12.7
1178,273,12.8
1182,273,12.8
1186,273,12.9
1190,273,12.9
1194,273,13
1200,273,13
1205,273,13
1211,274,13.1
1216,274,13.1
1222,274,13.1
1228,274,13.1
1233,274,13.1
1238,274,13.1
1243,274,13.1
1249,275,13.1
1255,275,13
1261,275,13
1267,275,13
1272,276,13
1278,276,13
1282,276,13
1287,277,13
1292,277,13
1298,277,13
1304,278,13
1312,278,13
1319,278,13
1327,279,13
1333,279,13
1338,279,13
1342,279,13.1
1346,280,13.1
1351,280,13.1
1356,280,13.1
1361,280,13.1
1367,280,13.1
1372,280,13.1
1378,280,13.1
1384,280,13.1
1389,280,13.1
1391,280,13.1
1395,280,13.1
1401,280,13.1
1407,280,13
1412,280,13
1417,280,13
1421,280,13
1424,279,13
1427,279,13
1432,279,13
1436,279,13
1442,278,13.1
1449,278,13.1
1456,278,13.2
1462,278,13.2
1467,277,13.3
1471,277,13.4
1475,277,13.5
1479,277,13.6
1484,277,13.7
1490,277,13.8
1496,276,14
1501,276,14.1
1506,276,14.2
1511,276,14.4
1515,276,14.5
1519,276,14.6
1523,277,14.8
1526,277,14.9
1530,277,15
1534,277,15.1
1538,277,15.2
1541,277,15.3
1545,278,15.3
1550,278,15.4
1554,278,15.5
1560,279,15.5
1565,279,15.6
1570,279,15.6
1574,279,15.6
1578,280,15.7
1582,280,15.7
1586,280,15.7
1591,280,15.7
1596,281,15.7
1601,281,15.8
1606,281,15.8
1611,281,15.8
1615,281,15.8
1619,281,15.9
1623,282,15.9
1627,282,15.9
1631,282,16
1636,282,16
1642,282,16.1
1647,282,16.1
1652,282,16.2
1658,281,16.2
1662,281,16.2
1666,281,16.3
1670,281,16.3
1673,281,16.4
1676,281,16.4
1680,281,16.4
1683,281,16.5
1686,281,16.5
1690,281,16.5
1693,281,16.5
1697,281,16.5
1700,281,16.5
1704,281,16.5
1707,281,16.5
1712,281,16.5
1717,281,16.5
1723,281,16.4
1728,281,16.4
1734,281,16.4
1739,281,16.3
1743,281,16.3
1747,281,16.2
1751,281,16.1
1755,281,16.1
1758,281,16
1762,281,15.9
1766,281,15.8
1771,281,15.7
1775,281,15.7
1780,281,15.6
1785,281,15.5
1790,281,15.4
1794,281,15.3
1799,280,15.2
1804,280,15.1
1808,280,15
1812,280,14.9
1816,280,14.8
1821,280,14.7
1825,280,14.7
1830,280,14.6
1835,279,14.5
1840,279,14.5
1845,279,14.4
1850,279,14.4
1855,279,14.3
1860,278,14.3
1866,278,14.3
1871,278,14.3
1876,278,14.3
1882,278,14.3
1886,277,14.3
1891,277,14.3
1895,277,14.3
1898,277,14.3
1902,277,14.3
1905,277,14.4
1908,277,14.4
1911,277,14.4
1915,277,14.4
1918,277,14.4
1922,277,14.4
1926,277,14.4
1930,277,14.4
1935,277,14.4
1940,277,14.4
1946,277,14.4
1951,277,14.3
1956,277,14.3
1961,276,14.3
1965,276,14.2
1969,276,14.2
1973,276,14.1
1977,276,14.1
1981,276,14
1985,275,14
1989,275,13.9
1993,275,13.9
1998,274,13.8
2003,274,13.8
2009,273,13.8
2014,273,13.8
2019,272,13.8
2024,272,13.8
2029,271,13.8
2034,270,13.8
2038,270,13.8
2043,269,13.8
2048,269,13.9
2054,269,13.9
2060,268,14
2066,268,14
2071,267,14.1
2076,267,14.1
2080,267,14.2
2083,267,14.2
2085,267,14.3
2088,267,14.3
2091,267,14.3
2094,267,14.4
2098,267,14.4
2102,267,14.4
2106,267,14.4
2111,267,14.4
2115,268,14.3
2121,268,14.3
2127,268,14.3
2134,269,14.3
2141,269,14.2
2148,269,14.2
2154,270,14.2
2160,270,14.2
2165,270,14.1
2170,271,14.1
2174,271,14.1
2179,271,14.1
2183,272,14.1
2186,272,14.1
2190,272,14.1
2194,272,14.2
2198,273,14.2
2202,273,14.2
2206,273,14.3
2211,273,14.3
2215,273,14.4
2219,273,14.4
2223,273,14.5
2227,273,14.5
2231,273,14.6
2235,273,14.6
2239,273,14.6
2243,273,14.6
2246,273,14.6
2250,273,14.6
2254,272,14.6
2257,272,14.6
2262,272,14.6
2266,272,14.5
2270,272,14.4
2274,272,14.4
2278,271,14.3
2282,271,14.2
2286,271,14.1
2289,271,14
2292,270,13.9
2296,270,13.8
2300,270,13.7
2306,270,13.7
2311,270,13.6
2317,269,13.5
2321,269,13.4
2325,269,13.4
2329,269,13.3
2332,268,13.3
2335,268,13.2
2338,268,13.2
2342,268,13.2
2346,268,13.2
2349,267,13.2
2352,267,13.2
2356,267,13.2
2361,267,13.3
2366,267,13.3
2372,267,13.4
2378,266,13.4
2383,266,13.4
2388,266,13.5
2394,266,13.5
2399,266,13.6
2405,266,13.6
2410,265,13.6
2415,265,13.7
2420,265,13.7
2424,265,13.7
2428,265,13.7
2434,264,13.8
2439,264,13.8
2444,264,13.8
2449,264,13.8
2454,264,13.8
2458,264,13.8
2462,264,13.8
2466,263,13.8
2470,263,13.8
2476,263,13.8
2481,263,13.8
2487,263,13.8
2493,263,13.8
2500,263,13.8
2505,263,13.8
2510,263,13.8
2514,263,13.8
2517,263,13.8
2521,263,13.7
2524,263,13.7
2529,264,13.7
2535,264,13.6
2540,264,13.6
2546,264,13.6
2552,264,13.5
2556,264,13.5
2559,264,13.5
2562,264,13.4
2566,264,13.4
2571,265,13.4
2575,265,13.3
2580,265,13.3
2585,265,13.3
2589,265,13.2
2593,265,13.2
2597,265,13.2
2602,265,13.2
2606,265,13.2
2611,265,13.2
2615,264,13.2
2619,264,13.2
2623,264,13.2
2627,264,13.3
2631,264,13.3
2636,264,13.3
2640,264,13.4
2645,264,13.4
2649,264,13.5
2653,264,13.5
2658,264,13.6
2662,264,13.6
2667,264,13.7
2671,264,13.8
2675,264,13.8
2680,264,13.8
2684,264,13.9
2689,264,13.9
2694,264,14
2700,264,14
2706,264,14
2712,264,14
2716,264,14
2721,264,14
2724,264,14
2728,265,14
2730,265,14
2733,265,13.9
2736,265,13.9
2740,266,13.9
2743,266,13.8
2747,266,13.8
2750,266,13.7
2754,266,13.7
2757,267,13.6
2761,267,13.6
2766,267,13.6
2771,267,13.5
2776,267,13.5
2780,267,13.5
2785,268,13.5
2788,268,13.5
2792,268,13.5
2795,268,13.5
2799,268,13.5
2803,268,13.5
2808,268,13.5
2812,268,13.6
2816,268,13.6
2821,268,13.6
2825,268,13.6
2830,268,13.7
2835,268,13.7
2840,267,13.7
2845,267,13.8
2848,267,13.8
2852,267,13.8
2856,267,13.8
2860,267,13.8
2865,267,13.8
2869,267,13.8
2873,267,13.8
2876,267,13.8
2880,267,13.8
2883,267,13.7
2886,267,13.7
2890,266,13.6
2893,266,13.6
2897,266,13.5
2902,266,13.5
2907,266,13.4
2912,266,13.3
2917,266,13.3
2922,266,13.2
2925,266,13.2
2929,266,13.1
2932,266,13.1
2936,266,13.1
2941,266,13
2946,266,13
2951,266,13
2956,266,13
2960,266,13
2964,266,13
2968,266,13.1
2968,266,13.1
2971,266,13.1
2975,265,13.2
2978,265,13.2
2981,265,13.3
2984,265,13.4
2986,265,13.4
2989,265,13.5
2993,265,13.6
2996,265,13.7
3000,265,13.8
3005,265,13.9
3010,265,14
3016,264,14.1
3021,264,14.2
3026,264,14.2
3030,264,14.3
3033,264,14.4
3035,263,14.5
3038,263,14.5
3041,263,14.6
3044,262,14.6
3047,262,14.7
3050,262,14.7
3054,261,14.8
3057,261,14.8
3060,261,14.9
3065,260,14.9
3069,260,14.9
3074,260,14.9
3079,259,15
3084,259,15
3088,259,15
3091,259,15
3095,259,15
3098,258,15
3101,258,15.1
3104,258,15.1
3106,258,15.1
3109,258,15
3112,258,15
3116,258,15
3121,258,15
3126,259,15
3130,259,14.9
3135,259,14.9
3138,259,14.8
3142,259,14.8
3145,260,14.7
3148,260,14.7
3152,260,14.6
3157,261,14.5
3161,261,14.5
3166,261,14.4
3170,262,14.3
3174,262,14.3
3179,262,14.2
3184,263,14.1
3188,263,14.1
3192,263,14
3195,264,14
3198,264,14
3202,264,13.9
3205,265,13.9
3208,265,13.9
3212,266,13.9
3216,266,13.9
3221,266,13.9
3227,267,13.9
3233,267,14
3239,267,14
3244,268,14
3248,268,14.1
3252,268,14.1
3256,268,14.2
3260,269,14.2
3263,269,14.2
3266,269,14.3
3269,269,14.3
3272,270,14.4
3276,270,14.4
3280,270,14.4
3284,270,14.4
3289,270,14.4
3294,270,14.4
3299,270,14.4
3304,270,14.4
3308,270,14.4
3311,270,14.3
3314,270,14.3
3317,269,14.3
3320,269,14.2
3324,269,14.2
3328,269,14.1
3332,268,14
3337,268,14
3342,268,13.9
3348,267,13.8
3352,267,13.8
3357,267,13.7
3362,266,13.6
3366,266,13.6
3369,265,13.5
3373,265,13.5
3377,265,13.5
3380,264,13.4
3384,264,13.4
3388,263,13.4
3392,263,13.4
3396,263,13.4
3400,262,13.5
3405,262,13.5
3410,262,13.5
3415,261,13.6
3420,261,13.6
3425,261,13.7
3430,260,13.8
3435,260,13.9
3440,260,13.9
3443,259,14
3447,259,14.1
3450,259,14.2
3454,259,14.3
3457,258,14.4
3461,258,14.4
3465,258,14.5
3468,257,14.6
3472,257,14.7
3476,256,14.7
3480,256,14.8
3485,256,14.9
3489,255,14.9
3494,255,14.9
3499,254,15
3504,254,15
3509,254,15
3514,253,15.1
3518,253,15.1
3523,253,15.1
3527,252,15.1
3531,252,15.1
3534,252,15
3537,252,15
3540,251,15
3542,251,15
3545,251,14.9
3548,251,14.9
3551,251,14.9
3554,251,14.8
3557,251,14.8
3561,251,14.8
3565,251,14.7
3568,251,14.7
3572,251,14.7
3575,252,14.6
3578,252,14.6
3582,252,14.5
3585,252,14.5
3588,252,14.5
3591,253,14.4
3594,253,14.4
3597,253,14.4
3601,253,14.4
3604,253,14.3
3607,254,14.3
3611,254,14.3
3614,254,14.2
3619,254,14.2
3623,254,14.2
3627,254,14.1
3630,255,14.1
3634,255,14.1
3638,255,14
3641,255,14
3644,255,14
3647,255,14
3651,256,14
3655,256,13.9
3659,256,13.9
3664,256,13.9
3668,256,13.9
3673,256,13.9
3678,256,13.9
3682,256,14
3687,256,14
3692,256,14
3696,257,14
3701,257,14.1
3706,257,14.1
3710,257,14.2
3715,257,14.2
3720,256,14.2
3725,256,14.3
3731,256,14.3
3738,256,14.4
3745,256,14.4
3751,256,14.5
3757,256,14.5
3762,256,14.5
3766,256,14.6
3769,256,14.6
3773,256,14.6
3778,256,14.6
3783,256,14.6
3787,255,14.6
3792,255,14.6
3796,255,14.6
3801,255,14.6
3805,255,14.6
3809,255,14.6
3813,255,14.6
3817,255,14.6
3821,255,14.6
3826,255,14.6
3832,255,14.6
3838,255,14.6
3844,255,14.6
3848,255,14.6
3853,255,14.6
3858,255,14.6
3862,255,14.6
3867,255,14.7
3872,255,14.7
3877,255,14.7
3882,255,14.7
3887,255,14.8
3892,255,14.8
3896,255,14.9
3901,255,14.9
3905,255,15
3908,254,15
3911,254,15
3914,254,15.1
3917,254,15.1
3921,254,15.1
3926,253,15.2
3931,253,15.2
3936,253,15.2
3940,253,15.3
3945,253,15.3
3950,252,15.3
3956,252,15.3
3962,252,15.3
3969,252,15.3
3975,252,15.3
3981,251,15.3
3986,251,15.3
3991,251,15.3
3994,251,15.3
3998,251,15.3
4002,251,15.3
4006,251,15.3
4011,251,15.2
4017,251,15.2
4022,251,15.2
4027,251,15.1
4031,251,15.1
4034,251,15
4037,251,15
4040,251,14.9
4042,251,14.9
4045,251,14.8
4048,251,14.7
4051,251,14.7
4054,251,14.6
4058,251,14.5
4062,251,14.4
4066,251,14.4
4070,251,14.3
4073,251,14.2
4076,250,14.1
4080,250,14
4083,250,14
4087,250,13.9
4090,250,13.8
4094,249,13.7
4097,249,13.7
4100,249,13.6
4104,249,13.5
4107,249,13.5
4111,248,13.4
4115,248,13.4
4119,248,13.4
4123,248,13.3
4127,248,13.3
4131,248,13.3
4136,248,13.3
4141,248,13.3
4146,249,13.3
4151,249,13.3
4157,249,13.3
4163,249,13.3
4169,249,13.3
4175,250,13.3
4180,250,13.3
4184,250,13.3
4188,250,13.4
4191,251,13.4
4194,251,13.4
4198,251,13.4
4201,251,13.5
4205,252,13.5
4209,252,13.5
4213,252,13.6
4217,252,13.6
4221,252,13.6
4224,252,13.6
4228,252,13.7
4231,253,13.7
4235,253,13.7
4240,253,13.7
4244,253,13.7
4249,253,13.7
4254,253,13.7
4259,253,13.8
4264,253,13.8
4269,253,13.8
4274,253,13.8
4279,253,13.8
4284,252,13.8
4289,252,13.8
4294,252,13.8
4300,252,13.8
4306,252,13.8
4312,251,13.8
4318,251,13.8
4324,251,13.9
4330,250,13.9
4336,250,13.9
4342,250,14
4349,249,14
4355,249,14
4361,249,14.1
4367,248,14.1
4373,248,14.2
4378,247,14.3
4382,247,14.3
4386,247,14.4
4389,246,14.4
4393,246,14.5
4396,246,14.6
4399,246,14.6
4402,245,14.7
4406,245,14.7
4409,245,14.8
4412,245,14.8
4416,245,14.9
4420,245,14.9
4424,245,15
4427,245,15
4432,245,15.1
4436,245,15.1
4440,245,15.2
4444,245,15.2
4447,245,15.2
4450,245,15.3
4453,245,15.3
4456,245,15.3
4459,245,15.4
4462,245,15.4
4466,245,15.4
4469,245,15.5
4472,245,15.5
4476,245,15.5
4480,245,15.5
4483,245,15.6
4487,245,15.6
4490,245,15.6
4494,245,15.6
4498,244,15.6
4502,244,15.6
4506,244,15.6
4510,244,15.6
4513,244,15.6
4517,244,15.6
4520,244,15.6
4523,244,15.6
4527,244,15.6
4530,244,15.6
4534,244,15.5
4537,244,15.5
4541,244,15.5
4546,244,15.5
4550,244,15.5
4556,244,15.5
4562,244,15.5
4567,244,15.6
4572,245,15.6
4576,245,15.6
4580,245,15.6
4583,245,15.6
4586,245,15.7
4589,245,15.7
4593,245,15.7
4597,245,15.8
4600,246,15.8
4604,246,15.8
4607,246,15.9
4611,246,15.9
4614,246,15.9
4617,246,16
4620,246,16
4623,246,16
4627,246,16.1
4630,246,16.1
4634,246,16.1
4637,246,16.1
4641,246,16.2
4645,246,16.2
4648,246,16.2
4652,246,16.3
4657,246,16.3
4661,246,16.3
4665,246,16.4
4669,246,16.4
4673,246,16.4
4678,246,16.4
4682,245,16.5
4687,245,16.5
4692,245,16.5
4697,245,16.6
4702,245,16.6
4706,245,16.6
4710,245,16.6
4714,245,16.7
4718,245,16.7
4722,244,16.7
4727,244,16.8
4732,244,16.8
4738,244,16.8
4743,244,16.8
4749,244,16.8
4755,243,16.9
4761,243,16.9
4766,243,16.9
4771,243,16.9
4776,243,16.9
4781,242,17
4786,242,17
4792,242,17
4797,241,17
4802,241,17.1
4807,241,17.1
4812,240,17.1
4818,240,17.1
4824,240,17.1
4829,240,17.2
4833,239,17.2
4837,239,17.2
4839,239,17.2
4842,239,17.2
4846,239,17.2
4849,238,17.2
4853,238,17.2
4857,238,17.2
4861,238,17.2
4864,238,17.2
4868,238,17.2
4871,238,17.1
4874,238,17.1
4877,238,17.1
4880,238,17.1
4883,238,17.1
4886,238,17
4889,238,17
4892,238,17
4896,238,17
4899,238,17
4903,238,17
4908,238,17
4912,238,17
4916,238,17
4920,238,17
4925,238,17
4930,237,17
4934,237,17
4939,237,17
4944,237,17
4949,237,17
4954,237,17
4959,237,17
4964,237,17
4968,236,17
4972,236,17
4976,236,17
4981,236,17
4985,236,17
4990,237,17
4994,237,17
4999,237,16.9
5004,237,16.9
5009,237,16.9
5014,237,16.8
5020,238,16.8
5025,238,16.8
5031,238,16.7
5036,239,16.7
5043,239,16.7
5049,239,16.6
5055,240,16.6
5062,240,16.6
5067,240,16.6
5072,241,16.6
5076,241,16.6
5080,241,16.6
5084,242,16.6
5088,242,16.6
5092,242,16.6
5095,242,16.6
5099,243,16.6
5103,243,16.6
5106,243,16.7
5110,243,16.7
5114,243,16.7
5118,243,16.7
5122,244,16.7
5125,244,16.7
5129,244,16.7
5133,244,16.7
5138,244,16.7
5142,244,16.7
5147,244,16.7
5151,244,16.6
5156,244,16.6
5160,243,16.6
5164,243,16.5
5168,243,16.4
5173,243,16.4
5178,243,16.3
5184,243,16.2
5190,243,16.2
5196,243,16.1
5202,243,16
5208,242,15.9
5213,242,15.9
5217,242,15.8
5221,242,15.7
5225,242,15.7
5229,242,15.6
5234,242,15.5
5239,242,15.5
5244,242,15.5
5249,242,15.4
5255,242,15.4
5260,241,15.4
5265,241,15.4
5270,242,15.4
5274,242,15.4
5278,242,15.4
5282,242,15.4
5286,242,15.4
5290,242,15.4
5294,242,15.4
5298,242,15.4
5303,242,15.4
5307,242,15.4
5311,242,15.4
5315,242,15.5
5319,242,15.5
5322,242,15.5
5326,242,15.5
5329,242,15.5
5332,242,15.5
5335,242,15.5
5338,242,15.5
5341,242,15.5
5344,242,15.5
5348,242,15.5
5351,242,15.5
5355,242,15.5
5358,242,15.5
5361,242,15.5
5365,242,15.5
5368,242,15.5
5371,242,15.4
5375,242,15.4
5378,242,15.4
5381,242,15.4
5384,241,15.4
5387,241,15.4
