height,u,v
1.109039805864829304e+02,1.198389649391174316e+00,2.980799436569213867e+00
3.234382464620537121e+02,1.751098632812500000e+00,4.112757205963134766e+00
5.404318686112608248e+02,3.553604125976562500e+00,6.895777225494384766e+00
7.620995463216537473e+02,7.461328983306884766e+00,8.421650886535644531e+00
9.886724675326817078e+02,1.096374034881591797e+01,7.666066646575927734e+00
1.220400074225172375e+03,1.019149303436279297e+01,7.447713375091552734e+00
1.457552073360499662e+03,1.058240222930908203e+01,7.965631961822509766e+00
1.700420735856317606e+03,1.129997253417968750e+01,8.153147697448730469e+00
1.949323534968157219e+03,1.155692005157470703e+01,8.378697395324707031e+00
2.204606186525369594e+03,1.155151844024658203e+01,8.612884521484375000e+00
2.466646167379943563e+03,1.180057239532470703e+01,8.203740119934082031e+00
3.012692061612715861e+03,1.260965442657470703e+01,4.941686153411865234e+00
3.591290105783952640e+03,1.330880737304687500e+01,1.472396850585937500e+00
4.207125173646806616e+03,1.421261119842529297e+01,-2.324676513671875000e-01
4.866020235327382579e+03,1.150549793243408203e+01,-1.181162476539611816e+00
5.575347079429260702e+03,9.008076667785644531e+00,-3.723414182662963867e+00
6.344643969652428495e+03,6.556513309478759766e+00,-2.688568115234375000e+00
7.186581097446553031e+03,7.031560420989990234e+00,-5.714314579963684082e-01
8.118542215753359415e+03,8.312306404113769531e+00,-2.745061159133911133e+00
9.165371410845807986e+03,1.072274303436279297e+01,-7.272898197174072266e+00
