height,u,v
1.109039805864829304e+02,-1.999613493680953979e-01,-1.146764159202575684e+00
3.234382464620537121e+02,-3.963775634765625000e-01,-2.096384763717651367e+00
5.404318686112608248e+02,-5.026804804801940918e-01,-2.452723264694213867e+00
7.620995463216537473e+02,-2.397155761718750000e-02,-1.465505003929138184e+00
9.886724675326817078e+02,4.432729184627532959e-01,7.760670781135559082e-01
1.220400074225172375e+03,1.616195678710937500e+00,1.460418701171875000e+00
1.457552073360499662e+03,2.945210695266723633e+00,2.694396972656250000e-01
1.700420735856317606e+03,4.587377071380615234e+00,-9.117380976676940918e-01
1.949323534968157219e+03,6.352752685546875000e+00,-1.323425292968750000e+00
2.204606186525369594e+03,8.133219718933105469e+00,-1.036224365234375000e+00
2.466646167379943563e+03,9.629089355468750000e+00,-4.119567871093750000e-01
3.012692061612715861e+03,1.065069580078125000e+01,7.428995966911315918e-01
3.591290105783952640e+03,1.176567554473876953e+01,1.137537598609924316e+00
4.207125173646806616e+03,1.517801380157470703e+01,1.161229491233825684e+00
4.866020235327382579e+03,2.233661460876464844e+01,4.356079101562500000e-01
5.575347079429260702e+03,2.993998718261718750e+01,2.493123292922973633e+00
6.344643969652428495e+03,3.820288085937500000e+01,3.587290525436401367e+00
7.186581097446553031e+03,4.258556747436523438e+01,6.377655029296875000e+00
8.118542215753359415e+03,4.295668411254882812e+01,4.190592288970947266e+00
9.165371410845807986e+03,4.463543319702148438e+01,3.599090576171875000e+00
