height,u,v
1.109039805864829304e+02,1.869084715843200684e+00,2.124201536178588867e+00
3.234382464620537121e+02,2.695343017578125000e+00,2.986953735351562500e+00
5.404318686112608248e+02,4.046056270599365234e+00,4.400609493255615234e+00
7.620995463216537473e+02,4.475458621978759766e+00,4.730794429779052734e+00
9.886724675326817078e+02,4.988800048828125000e+00,4.498138427734375000e+00
1.220400074225172375e+03,6.876119136810302734e+00,2.685501098632812500e+00
1.457552073360499662e+03,9.321548461914062500e+00,2.628204345703125000e+00
1.700420735856317606e+03,9.005070686340332031e+00,2.819727659225463867e+00
1.949323534968157219e+03,8.174057006835937500e+00,1.656555175781250000e+00
2.204606186525369594e+03,7.786763668060302734e+00,1.356765747070312500e+00
2.466646167379943563e+03,8.296859741210937500e+00,2.626246213912963867e+00
3.012692061612715861e+03,9.615310668945312500e+00,4.864242553710937500e+00
3.591290105783952640e+03,1.210925769805908203e+01,5.872075557708740234e+00
4.207125173646806616e+03,1.500667858123779297e+01,6.858011722564697266e+00
4.866020235327382579e+03,1.827667808532714844e+01,1.040744495391845703e+01
5.575347079429260702e+03,1.763175392150878906e+01,1.295275402069091797e+01
6.344643969652428495e+03,1.466628551483154297e+01,1.181413745880126953e+01
7.186581097446553031e+03,1.647552490234375000e+01,1.061036205291748047e+01
8.118542215753359415e+03,1.749182128906250000e+01,1.175447082519531250e+01
9.165371410845807986e+03,1.950422096252441406e+01,1.194466686248779297e+01
