geopotential height_m,wind direction_degree,wind speed_m/s
94,   ,    
227,217,8.3
234,216,5
239,215,3.9
245,214,3.7
252,215,4
258,215,4.4
265,216,4.7
271,216,5
277,217,5.3
282,217,5.5
287,217,5.8
293,218,6
299,218,6.2
307,219,6.5
314,219,6.7
321,220,6.9
328,220,7
334,221,7.2
340,221,7.4
346,222,7.5
351,222,7.6
356,222,7.8
360,223,7.9
365,223,8
369,223,8.1
373,224,8.2
378,224,8.3
382,224,8.4
387,224,8.5
393,225,8.5
398,225,8.6
405,225,8.7
411,225,8.7
418,225,8.8
423,225,8.8
428,225,8.9
433,225,9
438,225,9
442,225,9.1
445,226,9.1
450,226,9.2
454,226,9.3
460,226,9.3
465,226,9.4
471,226,9.5
476,226,9.5
482,225,9.6
487,225,9.7
492,225,9.8
497,225,9.9
503,225,10
508,225,10.1
512,224,10.2
516,224,10.4
520,224,10.5
523,223,10.6
526,223,10.8
530,222,10.9
536,222,11.1
541,222,11.2
547,221,11.4
553,220,11.5
558,220,11.7
563,219,11.8
568,219,11.9
574,218,12.1
579,218,12.2
585,217,12.3
590,217,12.4
595,216,12.5
600,216,12.6
604,216,12.7
609,215,12.8
614,215,12.9
620,214,12.9
626,214,13
631,214,13
636,214,13.1
640,213,13.1
644,213,13.1
648,213,13.1
652,213,13.2
656,212,13.2
659,212,13.2
662,212,13.2
666,212,13.3
670,211,13.3
675,211,13.3
681,211,13.4
686,211,13.4
692,211,13.5
697,211,13.5
702,211,13.6
706,211,13.6
711,211,13.7
716,211,13.8
722,211,13.9
728,211,14
734,211,14
740,211,14.1
746,211,14.2
751,212,14.3
757,212,14.4
763,212,14.5
770,212,14.6
776,213,14.7
781,213,14.7
781,213,14.8
787,213,14.9
792,214,14.9
798,214,15
804,215,15.1
809,215,15.2
814,215,15.2
819,216,15.3
823,216,15.4
828,216,15.4
834,217,15.5
839,217,15.5
845,217,15.6
850,217,15.6
856,218,15.7
861,218,15.7
866,218,15.8
871,218,15.8
876,218,15.9
881,218,15.9
886,218,16
892,218,16
897,218,16.1
903,218,16.1
909,218,16.2
915,218,16.2
921,218,16.3
927,218,16.3
933,218,16.4
940,218,16.4
946,217,16.5
951,217,16.5
956,217,16.6
960,217,16.7
965,217,16.7
969,217,16.8
974,217,16.8
979,216,16.9
984,216,16.9
989,216,17
995,216,17
1000,216,17.1
1005,216,17.1
1010,216,17.2
1016,216,17.3
1022,216,17.3
1028,216,17.4
1033,216,17.4
1038,216,17.5
1043,216,17.5
1048,216,17.6
1053,217,17.6
1058,217,17.6
1063,217,17.7
1068,217,17.7
1074,217,17.7
1081,217,17.7
1088,218,17.7
1094,218,17.8
1099,218,17.8
1104,218,17.8
1108,219,17.7
1112,219,17.7
1117,219,17.7
1121,220,17.7
1125,220,17.7
1129,220,17.7
1133,221,17.6
1137,221,17.6
1141,221,17.6
1145,222,17.6
1149,222,17.6
1153,222,17.6
1158,223,17.5
1161,223,17.5
1165,223,17.5
1169,223,17.5
1173,224,17.5
1179,224,17.5
1184,224,17.5
1190,224,17.5
1195,225,17.5
1200,225,17.5
1206,225,17.5
1211,225,17.5
1217,225,17.4
1222,225,17.4
1227,225,17.4
1233,226,17.3
1238,226,17.3
1243,226,17.2
1248,226,17.1
1252,226,17
1256,226,16.9
1260,226,16.8
1264,227,16.7
1268,227,16.6
1272,227,16.5
1276,227,16.3
1281,228,16.2
1286,228,16.1
1291,229,15.9
1296,229,15.8
1301,229,15.7
1306,230,15.6
1312,230,15.5
1316,231,15.4
1322,231,15.3
1327,232,15.2
1333,232,15.2
1339,233,15.2
1346,233,15.1
1353,234,15.1
1360,234,15.2
1366,234,15.2
1371,235,15.2
1377,235,15.3
1382,235,15.3
1388,235,15.4
1393,235,15.5
1398,235,15.6
1404,235,15.6
1408,235,15.7
1413,235,15.8
1418,235,15.9
1423,234,16
1429,234,16.1
1434,234,16.2
1440,234,16.3
1445,233,16.3
1450,233,16.4
1455,233,16.4
1459,233,16.5
1464,232,16.5
1469,232,16.6
1473,232,16.6
1477,232,16.6
1482,231,16.6
1486,231,16.6
1491,231,16.6
1496,231,16.6
1501,231,16.6
1507,231,16.6
1512,231,16.6
1512,231,16.6
1517,231,16.6
1522,231,16.6
1528,232,16.6
1534,232,16.5
1540,232,16.5
1546,232,16.5
1551,233,16.5
1555,233,16.5
1560,233,16.5
1564,234,16.5
1569,234,16.5
1574,234,16.5
