isobaricInhPa,latitude,longitude,number,time,step,valid_time,u,v
300.0,48.55,-81.4,0,2025-08-05 15:00:00,0 days,2025-08-05 15:00:00,-6.6752033,-6.2924595
300.0,48.3,-81.4,0,2025-08-05 15:00:00,0 days,2025-08-05 15:00:00,-2.4134846,-5.6227818
250.0,48.55,-81.4,0,2025-08-05 15:00:00,0 days,2025-08-05 15:00:00,1.448286,-7.000328
250.0,48.3,-81.4,0,2025-08-05 15:00:00,0 days,2025-08-05 15:00:00,4.7750072,-6.2957535
225.0,48.55,-81.4,0,2025-08-05 15:00:00,0 days,2025-08-05 15:00:00,4.3878145,-6.6195726
225.0,48.3,-81.4,0,2025-08-05 15:00:00,0 days,2025-08-05 15:00:00,7.291196,-5.828847
200.0,48.55,-81.4,0,2025-08-05 15:00:00,0 days,2025-08-05 15:00:00,6.5593033,-6.9532146
200.0,48.3,-81.4,0,2025-08-05 15:00:00,0 days,2025-08-05 15:00:00,8.483345,-5.941221
175.0,48.55,-81.4,0,2025-08-05 15:00:00,0 days,2025-08-05 15:00:00,10.1715555,-3.9640388
175.0,48.3,-81.4,0,2025-08-05 15:00:00,0 days,2025-08-05 15:00:00,11.522538,-3.8890247
150.0,48.55,-81.4,0,2025-08-05 15:00:00,0 days,2025-08-05 15:00:00,11.913288,-5.87346
150.0,48.3,-81.4,0,2025-08-05 15:00:00,0 days,2025-08-05 15:00:00,12.201794,-5.5964365
125.0,48.55,-81.4,0,2025-08-05 15:00:00,0 days,2025-08-05 15:00:00,9.591328,-6.3252296
125.0,48.3,-81.4,0,2025-08-05 15:00:00,0 days,2025-08-05 15:00:00,10.232883,-6.2969637
100.0,48.55,-81.4,0,2025-08-05 15:00:00,0 days,2025-08-05 15:00:00,7.652705,-4.292737
100.0,48.3,-81.4,0,2025-08-05 15:00:00,0 days,2025-08-05 15:00:00,8.229671,-3.5857515
70.0,48.55,-81.4,0,2025-08-05 15:00:00,0 days,2025-08-05 15:00:00,-0.17408353,-4.50998
70.0,48.3,-81.4,0,2025-08-05 15:00:00,0 days,2025-08-05 15:00:00,0.05890292,-3.1265268
50.0,48.55,-81.4,0,2025-08-05 15:00:00,0 days,2025-08-05 15:00:00,-2.303236,-4.2524395
50.0,48.3,-81.4,0,2025-08-05 15:00:00,0 days,2025-08-05 15:00:00,-2.85771,-4.190341
30.0,48.55,-81.4,0,2025-08-05 15:00:00,0 days,2025-08-05 15:00:00,-6.4230995,-1.2396908
30.0,48.3,-81.4,0,2025-08-05 15:00:00,0 days,2025-08-05 15:00:00,-6.2035217,-1.1506596
20.0,48.55,-81.4,0,2025-08-05 15:00:00,0 days,2025-08-05 15:00:00,-9.510909,1.3182659
20.0,48.3,-81.4,0,2025-08-05 15:00:00,0 days,2025-08-05 15:00:00,-9.418843,1.7519817
10.0,48.55,-81.4,0,2025-08-05 15:00:00,0 days,2025-08-05 15:00:00,-13.896369,2.9076223
10.0,48.3,-81.4,0,2025-08-05 15:00:00,0 days,2025-08-05 15:00:00,-14.329452,2.6027975
7.0,48.55,-81.4,0,2025-08-05 15:00:00,0 days,2025-08-05 15:00:00,-13.021159,-0.9121937
7.0,48.3,-81.4,0,2025-08-05 15:00:00,0 days,2025-08-05 15:00:00,-13.314288,-0.99704593
5.0,48.55,-81.4,0,2025-08-05 15:00:00,0 days,2025-08-05 15:00:00,-17.331032,-1.0305233
5.0,48.3,-81.4,0,2025-08-05 15:00:00,0 days,2025-08-05 15:00:00,-17.517872,-0.9258137
3.0,48.55,-81.4,0,2025-08-05 15:00:00,0 days,2025-08-05 15:00:00,-28.266846,-0.14716512
3.0,48.3,-81.4,0,2025-08-05 15:00:00,0 days,2025-08-05 15:00:00,-28.509167,0.25340098
2.0,48.55,-81.4,0,2025-08-05 15:00:00,0 days,2025-08-05 15:00:00,-23.668686,2.2479124
2.0,48.3,-81.4,0,2025-08-05 15:00:00,0 days,2025-08-05 15:00:00,-24.30252,2.4781523
1.0,48.55,-81.4,0,2025-08-05 15:00:00,0 days,2025-08-05 15:00:00,-32.80323,3.3076706
1.0,48.3,-81.4,0,2025-08-05 15:00:00,0 days,2025-08-05 15:00:00,-33.10173,3.4066296
