height,u,v
0.000000000000000000e+00,8.726639747619628906e-01,1.221891939640045166e-01
2.125342658755707816e+02,1.495465278625488281e+00,1.780271828174591064e-01
4.295278880247778943e+02,1.905949592590332031e+00,1.318670511245727539e-01
6.511955657351708169e+02,2.814047813415527344e+00,-1.554204225540161133e-01
8.777684869461987773e+02,3.895584106445312500e+00,-8.420619368553161621e-01
1.109496093638689445e+03,4.315716743469238281e+00,-6.213644146919250488e-01
1.346648092774016732e+03,4.170042991638183594e+00,-3.072547912597656250e-02
1.589516755269834675e+03,2.940067291259765625e+00,1.146798431873321533e-01
1.838419554381674288e+03,1.843029022216796875e+00,3.260171785950660706e-02
2.093702205938886436e+03,1.126812100410461426e+00,-1.156037330627441406e+00
2.355742186793460860e+03,1.101361751556396484e+00,-3.528714179992675781e+00
2.901788081026233158e+03,1.701307296752929688e+00,-5.627394676208496094e+00
3.480386125197469482e+03,4.486798286437988281e+00,-5.618603229522705078e+00
4.096221193060323458e+03,9.514081001281738281e+00,-6.495102882385253906e+00
4.755116254740899421e+03,1.089264774322509766e+01,-8.222949981689453125e+00
5.464443098842777545e+03,1.237307548522949219e+01,-1.178497695922851562e+01
6.233739989065945338e+03,1.401665496826171875e+01,-1.228811359405517578e+01
7.075677116860069873e+03,1.703278350830078125e+01,-1.310527801513671875e+01
8.007638235166876257e+03,2.071933364868164062e+01,-1.283123302459716797e+01
9.054467430259324829e+03,1.950354003906250000e+01,-1.329872226715087891e+01
