h,u,v
227,8.238288009390903,-6.309480151556835
238,6.982120184722766,-3.715228061392076
245,7.3573877098421185,-2.9864947507860125
252,7.511489187406314,-2.894232382875929
259,8.824313768029905,-3.5491616244223154
265,9.261684267285846,-3.681204335925575
271,9.323531015532952,-3.799635113915846
278,9.794997860630604,-3.8452069845777785
283,9.878731824911728,-3.9348330383963854
289,10.607464245452965,-4.536875267795294
294,11.29622676866068,-4.700513071874523
299,11.058368317448648,-4.831688816184926
304,12.261868731668391,-4.971871758746058
310,11.832295114527373,-5.059345971833654
315,12.920415676915288,-5.702914787881021
321,12.57672992378439,-5.646834846253747
325,12.383260234656758,-5.66800665901365
330,12.714210651812376,-5.545397076450521
335,14.143349616436305,-6.34510754852086
340,13.247348641214261,-6.243519793794145
346,12.955637625915061,-6.142793747097039
352,13.129447519892146,-6.3201983070422
358,13.099733879736533,-6.156923789415973
364,12.944878138291722,-6.4780364038752545
370,13.893472709885181,-7.317105158224666
376,13.812232470524908,-7.08467358800872
382,13.284214481369217,-7.161535136354314
388,12.753053085278406,-7.023349056558912
395,12.045796907598001,-6.892950530459435
402,12.127425074542451,-6.98337458652387
409,12.006394357996996,-6.943516189080704
417,12.10943803434184,-7.423978182854073
423,12.495027884414316,-8.093968322440734
430,11.253711767636466,-7.143788685640114
436,11.314359640868322,-7.311504018965243
442,10.771016919703461,-7.33441175345048
449,10.91409775974511,-7.256178535520465
455,11.347800775296106,-7.844322418588086
462,10.672375724281956,-7.298595024522131
468,11.97972308432548,-8.055915832905598
474,11.286219418104608,-7.373185144369701
480,11.455306216781102,-7.596868226088537
486,11.668496349116065,-7.899032340619735
491,11.714712968126845,-8.078864534361976
497,11.543815976619518,-7.61791177534675
503,11.209202049261258,-7.432319992959258
509,12.2064540836662,-7.833814908627869
514,12.693946652740696,-8.100773480890046
519,12.372703213075422,-7.893078113048846
524,12.156492400222898,-7.365144229700057
528,11.990069915293512,-6.92244452410565
533,12.939729419395448,-7.432141205739617
538,13.70786473446002,-7.566053793326888
544,12.692103758202949,-6.78983864817026
549,13.684416062484749,-7.145647181339775
556,14.04898302545761,-7.3713490496933405
562,14.65615642627443,-7.085366477909625
