h,u,v
227,5.159810745966949,-2.444807308308264
249,2.756974201437801,-2.1503581524325033
256,2.135328471118197,-1.5993647761990797
263,3.008036798932903,-2.705624600032465
270,3.140687827570719,-3.109895261215223
278,5.079948870628026,-3.5228070930863
286,3.001544992109047,-2.3313039152852473
292,2.68329100959026,-2.488701175773508
298,3.654025742263241,-3.1485992252692294
304,4.952703922726948,-4.458123766091101
310,5.897434620156229,-4.434026769702339
316,5.659345920801423,-5.013623362886681
321,4.668119478720872,-3.8117856630546956
326,4.230164528335644,-3.3595901987332297
329,6.560061535193547,-5.109896288289918
332,5.874417862983055,-4.698704812054838
337,5.367566458813818,-4.030343872375122
343,4.510246964856966,-2.8492666135791285
351,6.0627313393150235,-3.6977708379629415
359,6.886173382423402,-4.9498869401405985
365,7.275568514015509,-5.129702732203641
371,6.810539621742407,-4.349531030492219
376,5.468321299195082,-3.9679577680303453
381,6.4381017676008385,-5.10592031293159
386,6.939110241450602,-5.640270712146529
390,7.9449215622785605,-4.796931211133984
393,7.886942311222557,-5.592327293284613
397,5.115789991383988,-4.251846106575534
402,6.421472028043645,-4.924699461206098
407,6.745848946875065,-5.142211264510456
412,6.287091611274446,-4.7092093870841545
417,4.642142451857848,-4.11606886412403
421,5.434610600348644,-4.8398274018459295
425,7.124975828100186,-4.648250570479301
431,7.359309533113581,-5.272182694173777
438,8.151460144105272,-5.7120100328701975
446,5.721461791812651,-4.234345293855911
453,7.503951397949509,-6.656775083285575
459,7.058490298727326,-6.772951962334315
464,7.183628895203788,-6.147593990716721
468,7.322760222509821,-6.442896326133139
473,7.378163442151246,-5.1744302973640535
477,5.801185980096642,-5.555084924499721
481,6.755853571792585,-5.213553579541365
485,7.436532230206079,-7.633124969841838
488,8.77039359815826,-6.603506345790575
492,6.458031325588744,-5.043514804282926
496,7.0199096738897815,-6.401945006369129
500,5.590339171784376,-5.298074821825774
504,6.870462513639464,-6.910396288174604
509,7.074096170997086,-7.035859526320451
514,8.338129502514315,-6.4432331509594665
519,5.546083412018751,-5.3062998539343065
524,6.2088874014634206,-5.9585962107376345
529,7.735598197401554,-6.597655150620556
533,8.053942741695439,-7.297639640082664
537,6.9858548563852425,-5.953030446863331
540,5.593121510540217,-4.468523124483777
545,7.334886311735024,-5.977675223584001
552,6.564077178592033,-5.807133417587951
560,6.585031240142949,-5.719587011877044
570,5.454777556974044,-4.330761420388895
578,7.686032446063658,-6.528290363304204
585,5.864330913566735,-6.256794383233599
590,5.95280744837152,-5.761086184694499
594,6.109779128485965,-5.741831702303284
597,6.25598192877134,-6.616866380864416
600,6.711260957950913,-5.703498912129873
604,6.368095751466506,-6.378579564492935
608,7.306465969690933,-7.262192367070536
612,6.415434609842405,-6.13767282103597
617,5.30262731913595,-4.4741166436466875
621,5.399570877531503,-5.590930847257106
625,7.83748378838317,-6.277138979828601
629,5.2191038811657435,-4.854134912375154
634,7.505693781337485,-6.761695793519887
638,4.612423886037892,-4.634555020691527
643,7.355987203652312,-5.384172548904696
649,6.445201502628985,-6.009432734201094
654,7.8343601919688455,-6.709217600276351
660,5.545988613317072,-4.726156286887488
665,5.1756153825299345,-4.550193656724871
670,5.998179285448514,-4.491228151229373
676,6.800567696328651,-6.583903633843029
681,7.170164651093376,-5.607024987265796
685,5.2789948982652986,-4.404091280415907
686,8.012147883482392,-5.691688430173231
692,7.106682685645702,-5.2239193625309515
698,5.703566852400682,-4.302094680174358
704,7.367562523665883,-7.114497368272184
710,5.405548206410717,-4.929462067528387
716,7.194522299965474,-6.345293805911502
723,5.24661557359698,-4.535503256009749
730,7.985391814646984,-5.534764339126271
736,5.881278932842582,-4.116295812095914
742,7.221395878671897,-6.206136817304653
748,5.7334655509145,-4.575856948939452
753,7.334716163735036,-5.536397844871735
758,5.997313803591629,-4.771357110870249
762,6.617972796999352,-5.510383489207208
766,7.142480264067079,-4.841429729780324
771,7.383268347308392,-4.744938478381976
776,8.01338512365937,-6.287332253523624
782,6.365053572175994,-4.898025790378598
789,6.866009566811987,-5.662019725576334
796,8.912286058320777,-5.3181103736719
804,6.409330616351495,-4.883474910336999
810,6.07001638386943,-4.899511803882509
815,8.37484754469767,-5.792978631549096
819,5.6167479938194225,-3.624636332321996
824,6.90084975526727,-4.9765995711756785
828,6.167053873472239,-4.113221883117663
834,8.377986659727435,-6.417422326596925
840,7.406564170644393,-5.417182156543384
846,6.531755570933913,-4.2414167585206535
852,8.263426370419396,-4.784832107442195
858,5.971376821944102,-3.844056418075327
863,5.7993454599903425,-4.358712287847293
868,9.275648091679127,-5.970094785096391
873,8.015468996321843,-6.097485557243617
877,7.4805402427317,-5.128220126812175
882,6.7576365795398985,-4.964777058618135
886,7.435695230031481,-6.012348437230605
890,7.096071846074673,-5.220670613000986
894,8.539110276178823,-6.600629287579732
900,7.876428925490857,-4.954451572838958
907,8.47037923998416,-5.907845446874642
914,8.60423095547,-6.659045091408901
920,8.031593606237953,-5.427871588240794
926,9.033833481216496,-5.37539041973949
931,9.089707810640359,-5.541468198051126
936,10.03902913243187,-5.889800034107072
941,8.554086033044191,-5.839922306173365
