height,u,v
2.270000000000000000e+02,4.995064692162001663e+00,6.628674733392530882e+00
2.340000000000000000e+02,2.938926261462365019e+00,4.045084971874737256e+00
2.390000000000000000e+02,2.236948101769079766e+00,3.194692972727067648e+00
2.450000000000000000e+02,2.069013742841762760e+00,3.067439018453654853e+00
2.520000000000000000e+02,2.294305745404184638e+00,3.276608177155966750e+00
2.580000000000000000e+02,2.523736319944603235e+00,3.604268994871563603e+00
2.650000000000000000e+02,2.762590685774623189e+00,3.802379873562253376e+00
2.710000000000000000e+02,2.938926261462365019e+00,4.045084971874737256e+00
2.770000000000000000e+02,3.189619622705856195e+00,4.232768203250651950e+00
2.820000000000000000e+02,3.309982627336266248e+00,4.392495305260110783e+00
2.870000000000000000e+02,3.490527134281880439e+00,4.632085958274298143e+00
2.930000000000000000e+02,3.693968851953949084e+00,4.728064521640332529e+00
2.990000000000000000e+02,3.817101147019080987e+00,4.885666672361677065e+00
3.070000000000000000e+02,4.090582541823944318e+00,5.051448749470310418e+00
3.140000000000000000e+02,4.216446620033911685e+00,5.206877941761704598e+00
3.210000000000000000e+02,4.435234506837121060e+00,5.285706657520949037e+00
3.280000000000000000e+02,4.499513267805774319e+00,5.362311101832847093e+00
3.340000000000000000e+02,4.723625008731652031e+00,5.433908977603959300e+00
3.400000000000000000e+02,4.854836814529753575e+00,5.584850893648513726e+00
3.460000000000000000e+02,5.018479547691436338e+00,5.573586191080456942e+00
3.510000000000000000e+02,5.085392608327322428e+00,5.647900673628195811e+00
3.560000000000000000e+02,5.219218729599093720e+00,5.796529638723675326e+00
3.600000000000000000e+02,5.387787044493737021e+00,5.777694242791448609e+00
3.650000000000000000e+02,5.455986880499986924e+00,5.850829612953365455e+00
3.690000000000000000e+02,5.524186716506236827e+00,5.923964983115282301e+00
3.730000000000000000e+02,5.696198637763777661e+00,5.898586362776938152e+00
3.780000000000000000e+02,5.765664474809678808e+00,5.970520342810804237e+00
3.820000000000000000e+02,5.835130311855578178e+00,6.042454322844669434e+00
3.870000000000000000e+02,5.904596148901477548e+00,6.114388302878534631e+00
3.930000000000000000e+02,6.010407640085653647e+00,6.010407640085655423e+00
3.980000000000000000e+02,6.081118318204308260e+00,6.081118318204310036e+00
4.050000000000000000e+02,6.151828996322961984e+00,6.151828996322964649e+00
4.110000000000000000e+02,6.151828996322961984e+00,6.151828996322964649e+00
4.180000000000000000e+02,6.222539674441618374e+00,6.222539674441620150e+00
4.230000000000000000e+02,6.222539674441618374e+00,6.222539674441620150e+00
4.280000000000000000e+02,6.293250352560272987e+00,6.293250352560274763e+00
4.330000000000000000e+02,6.363961030678927600e+00,6.363961030678929376e+00
4.380000000000000000e+02,6.363961030678927600e+00,6.363961030678929376e+00
4.420000000000000000e+02,6.434671708797581324e+00,6.434671708797583989e+00
4.450000000000000000e+02,6.545992183081725813e+00,6.321391171176874657e+00
4.500000000000000000e+02,6.617926163115590121e+00,6.390857008222774027e+00
4.540000000000000000e+02,6.689860143149456206e+00,6.460322845268675174e+00
4.600000000000000000e+02,6.689860143149456206e+00,6.460322845268675174e+00
4.650000000000000000e+02,6.761794123183321403e+00,6.529788682314574544e+00
4.710000000000000000e+02,6.833728103217186600e+00,6.599254519360473914e+00
4.760000000000000000e+02,6.833728103217186600e+00,6.599254519360473914e+00
4.820000000000000000e+02,6.788225099390855277e+00,6.788225099390857942e+00
4.870000000000000000e+02,6.858935777509509890e+00,6.858935777509511666e+00
4.920000000000000000e+02,6.929646455628165391e+00,6.929646455628168056e+00
4.970000000000000000e+02,7.000357133746820004e+00,7.000357133746822669e+00
5.030000000000000000e+02,7.071067811865474617e+00,7.071067811865477282e+00
5.080000000000000000e+02,7.141778489984129230e+00,7.141778489984131006e+00
5.120000000000000000e+02,7.085515378681773058e+00,7.337265963454240314e+00
5.160000000000000000e+02,7.224447052773572686e+00,7.481133923521971596e+00
5.200000000000000000e+02,7.293912889819472056e+00,7.553067903555836793e+00
5.230000000000000000e+02,7.229182616662482630e+00,7.752349237163208784e+00
5.260000000000000000e+02,7.365582288674982436e+00,7.898619977487044252e+00
5.300000000000000000e+02,7.293523609311555411e+00,8.100278597703598038e+00
5.360000000000000000e+02,7.427349730583325815e+00,8.248907562799075777e+00
5.410000000000000000e+02,7.494262791219211906e+00,8.323222045346815534e+00
5.470000000000000000e+02,7.479072930491781790e+00,8.603689214539603114e+00
5.530000000000000000e+02,7.392057511395201175e+00,8.809511095868248987e+00
5.580000000000000000e+02,7.520615033332508581e+00,8.962719984492043324e+00
5.630000000000000000e+02,7.425980614388084433e+00,9.170322345192255753e+00
5.680000000000000000e+02,7.488912653493067673e+00,9.248036941337952399e+00
5.740000000000000000e+02,7.449503851440463897e+00,9.534930118641335994e+00
5.790000000000000000e+02,7.511069998973029627e+00,9.613731194002008706e+00
5.850000000000000000e+02,7.402324784770195620e+00,9.823216773581702199e+00
5.900000000000000000e+02,7.462506287085400203e+00,9.903080324586431615e+00
5.950000000000000000e+02,7.347315653655912548e+00,1.011271242968684270e+01
6.000000000000000000e+02,7.406094178885159529e+00,1.019361412912433806e+01
6.040000000000000000e+02,7.464872704114407398e+00,1.027451582856183165e+01
6.090000000000000000e+02,7.341778385293391551e+00,1.048514616689909396e+01
6.140000000000000000e+02,7.399136028928495534e+00,1.056706137132799306e+01
6.200000000000000000e+02,7.213588454772632552e+00,1.069458468596003975e+01
6.260000000000000000e+02,7.269507745119707209e+00,1.077748844321554422e+01
6.310000000000000000e+02,7.269507745119707209e+00,1.077748844321554422e+01
6.360000000000000000e+02,7.325427035466780978e+00,1.086039220047104870e+01
6.400000000000000000e+02,7.134771358696854193e+00,1.098658444008505519e+01
6.440000000000000000e+02,7.134771358696854193e+00,1.098658444008505519e+01
6.480000000000000000e+02,7.134771358696854193e+00,1.098658444008505519e+01
6.520000000000000000e+02,7.189235262198357290e+00,1.107045149687959729e+01
6.560000000000000000e+02,6.994934287878303181e+00,1.119423486926482347e+01
6.590000000000000000e+02,6.994934287878303181e+00,1.119423486926482347e+01
6.620000000000000000e+02,6.994934287878303181e+00,1.119423486926482347e+01
6.660000000000000000e+02,7.047926214301623915e+00,1.127903967888046743e+01
6.700000000000000000e+02,6.850006396303720990e+00,1.140032509933809379e+01
6.750000000000000000e+02,6.850006396303720990e+00,1.140032509933809379e+01
6.810000000000000000e+02,6.901510203794726017e+00,1.148604182940830576e+01
6.860000000000000000e+02,6.901510203794726017e+00,1.148604182940830576e+01
6.920000000000000000e+02,6.953014011285731044e+00,1.157175855947851595e+01
6.970000000000000000e+02,6.953014011285731044e+00,1.157175855947851595e+01
7.020000000000000000e+02,7.004517818776736071e+00,1.165747528954872791e+01
7.060000000000000000e+02,7.004517818776736071e+00,1.165747528954872791e+01
7.110000000000000000e+02,7.056021626267741986e+00,1.174319201961893810e+01
